index,raw_tick_uint32,intensity_int16,endianness
570,3660644352,-1,LE
571,0,-9686,LE
572,65535,0,LE
573,4294957603,0,LE
574,3659268096,-1,LE
575,0,-9707,LE
576,65535,0,LE
577,4294957583,0,LE
578,3657957376,-1,LE
579,0,-9727,LE
580,65535,0,LE
581,4294957562,0,LE
582,3656646656,-1,LE
583,0,-9747,LE
584,65535,0,LE
585,4294957543,0,LE
586,3655335936,-1,LE
587,0,-9766,LE
588,65535,0,LE
589,4294957524,0,LE
590,3654156288,-1,LE
591,0,-9783,LE
592,65535,0,LE
593,4294957507,0,LE
594,3653107712,-1,LE
595,0,-9799,LE
596,65535,0,LE
597,4294957492,0,LE
598,3652190208,-1,LE
599,0,-9812,LE
600,65535,0,LE
601,4294957480,0,LE
602,3651469312,-1,LE
603,0,-9822,LE
604,65535,0,LE
605,4294957472,0,LE
606,3650945024,-1,LE
607,0,-9828,LE
608,65535,0,LE
609,4294957467,0,LE
610,3650748416,-1,LE
611,0,-9830,LE
612,65535,0,LE
613,4294957466,0,LE
614,3650813952,-1,LE
615,0,-9828,LE
616,65535,0,LE
617,4294957469,0,LE
618,3651010560,-1,LE
619,0,-9824,LE
620,65535,0,LE
621,4294957474,0,LE
622,3651403776,-1,LE
623,0,-9818,LE
624,65535,0,LE
625,4294957480,0,LE
626,3651862528,-1,LE
627,0,-9811,LE
628,65535,0,LE
629,4294957487,0,LE
630,3652321280,-1,LE
631,0,-9804,LE
632,65535,0,LE
633,4294957495,0,LE
634,3652780032,-1,LE
635,0,-9797,LE
636,65535,0,LE
637,4294957502,0,LE
638,3653238784,-1,LE
639,0,-9790,LE
640,65535,0,LE
641,4294957507,0,LE
642,3653566464,-1,LE
643,0,-9786,LE
644,65535,0,LE
645,4294957511,0,LE
646,3653697536,-1,LE
647,0,-9785,LE
648,65535,0,LE
649,4294957511,0,LE
650,3653632000,-1,LE
651,0,-9787,LE
652,65535,0,LE
653,4294957507,0,LE
654,3653238784,-1,LE
655,0,-9795,LE
656,65535,0,LE
657,4294957498,0,LE
658,3652583424,-1,LE
659,0,-9806,LE
660,65535,0,LE
661,4294957485,0,LE
662,3651600384,-1,LE
663,0,-9823,LE
664,65535,0,LE
665,4294957467,0,LE
666,3650355200,-1,LE
667,0,-9844,LE
668,65535,0,LE
669,4294957444,0,LE
670,3648716800,-1,LE
671,0,-9870,LE
672,65535,0,LE
673,4294957416,0,LE
674,3646816256,-1,LE
675,0,-9901,LE
676,65535,0,LE
677,4294957383,0,LE
678,3644522496,-1,LE
679,0,-9937,LE
680,65535,0,LE
681,4294957346,0,LE
682,3641966592,-1,LE
683,0,-9978,LE
684,65535,0,LE
685,4294957304,0,LE
686,3639148544,-1,LE
687,0,-10021,LE
688,65535,0,LE
689,4294957260,0,LE
690,3636264960,-1,LE
691,0,-10066,LE
692,65535,0,LE
693,4294957215,0,LE
694,3633381376,-1,LE
695,0,-10110,LE
696,65535,0,LE
697,4294957172,0,LE
698,3630563328,-1,LE
699,0,-10152,LE
700,65535,0,LE
701,4294957130,0,LE
702,3627876352,-1,LE
703,0,-10191,LE
704,65535,0,LE
705,4294957092,0,LE
706,3625517056,-1,LE
707,0,-10227,LE
708,65535,0,LE
709,4294957058,0,LE
710,3623354368,-1,LE
711,0,-10258,LE
712,65535,0,LE
713,4294957029,0,LE
714,3621584896,-1,LE
715,0,-10284,LE
716,65535,0,LE
717,4294957005,0,LE
718,3620077568,-1,LE
719,0,-10304,LE
720,65535,0,LE
721,4294956986,0,LE
722,3618963456,-1,LE
723,0,-10319,LE
724,65535,0,LE
725,4294956973,0,LE
726,3618177024,-1,LE
727,0,-10330,LE
728,65535,0,LE
729,4294956963,0,LE
730,3617652736,-1,LE
731,0,-10338,LE
732,65535,0,LE
733,4294956956,0,LE
734,3617193984,-1,LE
735,0,-10344,LE
736,65535,0,LE
737,4294956949,0,LE
738,3616735232,-1,LE
739,0,-10352,LE
740,65535,0,LE
741,4294956941,0,LE
742,3616079872,-1,LE
743,0,-10362,LE
744,65535,0,LE
745,4294956930,0,LE
746,3615358976,-1,LE
747,0,-10375,LE
748,65535,0,LE
749,4294956917,0,LE
750,3614375936,-1,LE
751,0,-10390,LE
752,65535,0,LE
753,4294956900,0,LE
754,3613261824,-1,LE
755,0,-10408,LE
756,65535,0,LE
757,4294956882,0,LE
758,3612016640,-1,LE
759,0,-10428,LE
760,65535,0,LE
761,4294956861,0,LE
762,3610574848,-1,LE
763,0,-10451,LE
764,65535,0,LE
765,4294956838,0,LE
766,3609001984,-1,LE
767,0,-10475,LE
768,65535,0,LE
769,4294956813,0,LE
770,3607429120,-1,LE
771,0,-10499,LE
772,65535,0,LE
773,4294956789,0,LE
774,3605856256,-1,LE
775,0,-10522,LE
776,65535,0,LE
777,4294956766,0,LE
778,3604414464,-1,LE
779,0,-10543,LE
780,65535,0,LE
781,4294956746,0,LE
782,3603234816,-1,LE
783,0,-10561,LE
784,65535,0,LE
785,4294956730,0,LE
786,3602186240,-1,LE
787,0,-10576,LE
788,65535,0,LE
789,4294956716,0,LE
790,3601334272,-1,LE
791,0,-10587,LE
792,65535,0,LE
793,4294956705,0,LE
794,3600678912,-1,LE
795,0,-10598,LE
796,65535,0,LE
